year,outcome
1999,5440
2000,5846
2001,5895
2002,5670
2003,5402
2004,6181
2005,5998
2006,6308
2007,6259
2008,6651
2009,7059
2010,6087
2011,7285
2012,6845
2013,7223
2014,7655
2015,7509
2016,6917
2017,9965
