Year,outcome
1999,5801
2000,5232
2001,5653
2002,6093
2003,6033
2004,6090
2005,6114
2006,5809
2007,6836
2008,6725
2009,7412
2010,6384
2011,6616
2012,5703
2013,6458
2014,6649
2015,6072
2016,6528
2017,5858
