Year,outcome
1999,4015
2000,4251
2001,4499
2002,4552
2003,4502
2004,4783
2005,4752
2006,4950
2007,4669
2008,5203
2009,5409
2010,4758
2011,5396
2012,5290
2013,5880
2014,6148
2015,6229
2016,5295
2017,7626
